match_index,date,group,team_a,team_b,venue,temperature_2m_max_c,apparent_temperature_max_c,precipitation_sum_mm,wind_speed_10m_max_kmh,venue_environment_load,weather_load,forecast_status,source_url,snapshot_date
44,2026-06-22,J,Jordan,Algeria,San Francisco Bay Area Stadium,27.8,26.9,0,19.3,28,15,forecast,https://api.open-meteo.com/v1/forecast?latitude=37.4030&longitude=-121.9700&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
45,2026-06-23,L,England,Ghana,Boston Stadium,27.3,25.5,0,18.9,32,18,forecast,https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
46,2026-06-23,L,Panama,Croatia,Toronto Stadium,26.4,27.3,0,11.1,28,16,forecast,https://api.open-meteo.com/v1/forecast?latitude=43.6332&longitude=-79.4186&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
47,2026-06-23,K,Portugal,Uzbekistan,Houston Stadium,28,32.2,2.6,13,58,50,forecast,https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
48,2026-06-23,K,Colombia,Congo DR,Estadio Guadalajara,21.9,24.4,4.1,9.4,58,42,forecast,https://api.open-meteo.com/v1/forecast?latitude=20.6819&longitude=-103.4622&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
49,2026-06-24,C,Scotland,Brazil,Miami Stadium,32.4,35.8,0.3,23.5,72,60,forecast,https://api.open-meteo.com/v1/forecast?latitude=25.9580&longitude=-80.2389&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
50,2026-06-24,C,Morocco,Haiti,Atlanta Stadium,33.7,36.2,1.8,14,44,49,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.7554&longitude=-84.4008&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
51,2026-06-24,B,Switzerland,Canada,BC Place Vancouver,21.8,21.5,0,12.3,24,13,forecast,https://api.open-meteo.com/v1/forecast?latitude=49.2768&longitude=-123.1119&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
52,2026-06-24,B,Bosnia and Herzegovina,Qatar,Seattle Stadium,26.6,25.3,0,13.7,22,12,forecast,https://api.open-meteo.com/v1/forecast?latitude=47.5952&longitude=-122.3316&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
53,2026-06-24,A,Czechia,Mexico,Mexico City Stadium,20.4,22.7,8.25,9.6,78,59,forecast,https://api.open-meteo.com/v1/forecast?latitude=19.3029&longitude=-99.1505&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
54,2026-06-24,A,South Africa,Korea Republic,Estadio Monterrey,32.7,32.5,0,27.6,66,51,forecast,https://api.open-meteo.com/v1/forecast?latitude=25.6683&longitude=-100.2447&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
55,2026-06-25,E,Curacao,Cote d'Ivoire,Philadelphia Stadium,32.5,33,1.8,25.3,38,40,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.9008&longitude=-75.1675&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
56,2026-06-25,E,Ecuador,Germany,New York New Jersey Stadium,28.5,30.7,3.6,26.7,36,39,forecast,https://api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
57,2026-06-25,F,Japan,Sweden,Dallas Stadium,36.2,39.1,0,14.4,54,56,forecast,https://api.open-meteo.com/v1/forecast?latitude=32.7473&longitude=-97.0945&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
58,2026-06-25,F,Tunisia,Netherlands,Kansas City Stadium,25.3,27.8,0.2,19.1,48,29,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.0489&longitude=-94.4839&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
59,2026-06-25,D,Türkiye,USA,Los Angeles Stadium,26.3,26.5,0,21.8,34,19,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
60,2026-06-25,D,Paraguay,Australia,San Francisco Bay Area Stadium,33.5,32.4,0,17.5,28,27,forecast,https://api.open-meteo.com/v1/forecast?latitude=37.4030&longitude=-121.9700&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
61,2026-06-26,I,Norway,France,Boston Stadium,,,,,32,32,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
62,2026-06-26,I,Senegal,Iraq,Toronto Stadium,,,,,28,28,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=43.6332&longitude=-79.4186&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
63,2026-06-26,G,Egypt,IR Iran,Seattle Stadium,,,,,22,22,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=47.5952&longitude=-122.3316&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
64,2026-06-26,G,New Zealand,Belgium,BC Place Vancouver,,,,,24,24,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=49.2768&longitude=-123.1119&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
65,2026-06-26,H,Cabo Verde,Saudi Arabia,Houston Stadium,,,,,58,58,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
66,2026-06-26,H,Uruguay,Spain,Estadio Guadalajara,,,,,58,58,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=20.6819&longitude=-103.4622&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
67,2026-06-27,L,Panama,England,New York New Jersey Stadium,,,,,36,36,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
68,2026-06-27,L,Croatia,Ghana,Philadelphia Stadium,,,,,38,38,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=39.9008&longitude=-75.1675&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
69,2026-06-27,J,Algeria,Austria,Kansas City Stadium,,,,,48,48,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=39.0489&longitude=-94.4839&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
70,2026-06-27,J,Jordan,Argentina,Dallas Stadium,,,,,54,54,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=32.7473&longitude=-97.0945&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
71,2026-06-27,K,Colombia,Portugal,Miami Stadium,,,,,72,72,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=25.9580&longitude=-80.2389&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
72,2026-06-27,K,Congo DR,Uzbekistan,Atlanta Stadium,,,,,44,44,forecast_unavailable_venue_baseline,https://api.open-meteo.com/v1/forecast?latitude=33.7554&longitude=-84.4008&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
