date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_pre,away_elo_pre,home_fifa_pre,away_fifa_pre,home_form_pre,away_form_pre,match_weight
2024-10-10,Ecuador,Paraguay,0,0,FIFA World Cup qualification,FALSE,1868,1681,1550,1401,60,52,1
2024-10-10,Uzbekistan,IR Iran,0,0,FIFA World Cup qualification,FALSE,1706,1813,1528,1673,74,72,1
2024-10-10,Jordan,Korea Republic,0,2,FIFA World Cup qualification,FALSE,1653,1758,1457,1614,73,68,1
2024-10-10,Saudi Arabia,Japan,0,2,FIFA World Cup qualification,FALSE,1598,1887,1487,1699,67,76,1
2024-10-11,Bosnia and Herzegovina,Germany,1,2,UEFA Nations League,FALSE,1412,1938,1281,1745,44,70,1
2024-10-12,USA,Panama,2,0,Friendly,FALSE,1728,1748,1620,1494,56,60,0.6
2024-10-12,Croatia,Scotland,2,1,UEFA Nations League,FALSE,1884,1649,1651,1418,65,48,1
2024-10-13,Austria,Norway,5,1,UEFA Nations League,FALSE,1818,1720,1504,1432,65,63,1
2024-10-14,Belgium,France,1,2,UEFA Nations League,FALSE,1905,2006,1733,1850,62,63,1
2024-10-14,Germany,Netherlands,1,0,UEFA Nations League,FALSE,1942,1940,1747,1757,70,66,1
2024-10-15,Canada,Panama,2,1,Friendly,FALSE,1776,1735,1500,1490,55,60,0.6
2024-10-15,Mexico,USA,2,0,Friendly,FALSE,1806,1741,1639,1624,60,60,0.6
2024-10-15,Scotland,Portugal,0,0,UEFA Nations League,FALSE,1642,1975,1413,1732,47,69,1
2024-10-15,Uruguay,Ecuador,0,0,FIFA World Cup qualification,FALSE,1924,1854,1658,1546,60,61,1
2024-10-15,IR Iran,Qatar,4,1,FIFA World Cup qualification,TRUE,1813,1594,1669,1507,70,69,1
2024-10-15,Korea Republic,Iraq,3,2,FIFA World Cup qualification,FALSE,1791,1674,1623,1504,71,75,1
2024-10-15,Japan,Australia,1,1,FIFA World Cup qualification,FALSE,1906,1740,1707,1587,76,70,1
2024-11-14,Paraguay,Argentina,2,1,FIFA World Cup qualification,FALSE,1715,2150,1418,1882,56,73,1
2024-11-14,Qatar,Uzbekistan,3,2,FIFA World Cup qualification,FALSE,1575,1714,1498,1542,67,74,1
2024-11-14,Iraq,Jordan,0,0,FIFA World Cup qualification,FALSE,1664,1640,1494,1459,71,73,1
2024-11-14,Australia,Saudi Arabia,0,0,FIFA World Cup qualification,FALSE,1754,1568,1590,1476,70,60,1
2024-11-15,Scotland,Croatia,1,0,UEFA Nations League,FALSE,1654,1884,1417,1653,49,65,1
2024-11-15,Uruguay,Colombia,3,2,FIFA World Cup qualification,FALSE,1915,2035,1656,1732,58,69,1
2024-11-15,Cabo Verde,Egypt,1,1,African Cup of Nations qualification,FALSE,1480,1686,1320,1549,60,71,1
2024-11-16,Germany,Bosnia and Herzegovina,7,0,UEFA Nations League,FALSE,1958,1391,1755,1273,73,42,1
2024-11-18,Croatia,Portugal,1,1,UEFA Nations League,FALSE,1855,1973,1642,1733,61,70,1
2024-11-18,Spain,Switzerland,3,2,UEFA Nations League,FALSE,2174,1781,1883,1596,79,55,1
2024-11-19,Bosnia and Herzegovina,Netherlands,1,1,UEFA Nations League,FALSE,1388,1940,1271,1753,42,63,1
2024-11-19,Colombia,Ecuador,0,1,FIFA World Cup qualification,FALSE,2012,1876,1717,1555,65,63,1
2024-11-19,Brazil,Uruguay,1,1,FIFA World Cup qualification,FALSE,2004,1937,1799,1671,65,57,1
2024-12-28,Iraq,Saudi Arabia,1,3,Gulf Cup,TRUE,1641,1522,1499,1456,67,57,0.8
2025-01-22,Uzbekistan,Jordan,0,0,Friendly,TRUE,1698,1635,1535,1455,72,67,0.6
