advancing_third_groups,3ABCDF,3CDFGH,3CEFHI,3EHIJK,3BEFIJ,3AEHIJ,3EFGIJ,3DEIJL,assignment_source
ACDEFHJL,A,D,C,E,F,H,J,L,generated_from_fifa_candidate_slots
ACDEFHKL,C,D,H,K,E,A,F,L,generated_from_fifa_candidate_slots
ACDEFIJK,A,C,E,K,F,I,J,D,generated_from_fifa_candidate_slots
ACDEFIJL,D,C,F,E,I,A,J,L,generated_from_fifa_candidate_slots
ACDEFIKL,D,C,I,K,E,A,F,L,generated_from_fifa_candidate_slots
ACDEFJKL,D,C,E,K,F,A,J,L,generated_from_fifa_candidate_slots
ACDEGHIJ,A,C,H,I,E,J,G,D,generated_from_fifa_candidate_slots
ACDEGHIK,A,C,H,K,E,I,G,D,generated_from_fifa_candidate_slots
ACDEGHIL,A,D,C,H,E,I,G,L,generated_from_fifa_candidate_slots
ACDEGHJK,A,H,C,K,E,J,G,D,generated_from_fifa_candidate_slots
ACDEGHJL,A,D,C,H,E,J,G,L,generated_from_fifa_candidate_slots
ACDEGHKL,A,D,C,K,E,H,G,L,generated_from_fifa_candidate_slots
ACDEGIJK,A,C,E,K,I,J,G,D,generated_from_fifa_candidate_slots
ACDEGIJL,A,D,C,E,I,J,G,L,generated_from_fifa_candidate_slots
ACDEGIKL,A,D,C,K,E,I,G,L,generated_from_fifa_candidate_slots
ACDEGJKL,A,D,C,K,E,J,G,L,generated_from_fifa_candidate_slots
ACDEHIJK,A,C,H,K,E,J,I,D,generated_from_fifa_candidate_slots
ACDEHIJL,A,D,C,H,E,J,I,L,generated_from_fifa_candidate_slots
ACDEHIKL,A,D,C,K,E,H,I,L,generated_from_fifa_candidate_slots
ACDEHJKL,A,D,C,K,E,H,J,L,generated_from_fifa_candidate_slots
ACDEIJKL,D,C,E,K,I,A,J,L,generated_from_fifa_candidate_slots
ACDFGHIJ,A,G,C,H,F,I,J,D,generated_from_fifa_candidate_slots
ACDFGHIK,C,H,I,K,F,A,G,D,generated_from_fifa_candidate_slots
ACDFGHIL,C,D,I,H,F,A,G,L,generated_from_fifa_candidate_slots
ACDFGHJK,A,G,C,K,F,H,J,D,generated_from_fifa_candidate_slots
ACDFGHJL,D,G,C,H,F,A,J,L,generated_from_fifa_candidate_slots
ACDFGHKL,D,H,C,K,F,A,G,L,generated_from_fifa_candidate_slots
ACDFGIJK,D,G,C,K,F,A,J,I,generated_from_fifa_candidate_slots
ACDFGIJL,D,G,C,I,F,A,J,L,generated_from_fifa_candidate_slots
ACDFGIKL,D,G,C,K,F,A,I,L,generated_from_fifa_candidate_slots
ACDFGJKL,D,G,C,K,F,A,J,L,generated_from_fifa_candidate_slots
ACDFHIJK,A,C,H,K,F,J,I,D,generated_from_fifa_candidate_slots
ACDFHIJL,A,D,C,H,F,J,I,L,generated_from_fifa_candidate_slots
ACDFHIKL,C,D,H,K,F,A,I,L,generated_from_fifa_candidate_slots
ACDFHJKL,D,H,C,K,F,A,J,L,generated_from_fifa_candidate_slots
ACDFIJKL,D,C,F,K,I,A,J,L,generated_from_fifa_candidate_slots
